abc,1,2,3,4,5
extension freely available,0,0,0,0,0
 extension freely available,0,0,0,0,0
 extension freely available,0,0,0,0,0
 extension freely available,0,0,0,0,0
 extension freely available,0,0,0,0,0
 cryptotab browser browser,0.897,0.4935,0.4395,0.519,0.4485
 animal firefox,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 attacks,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 releases(android android) contains,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 extension freely available,0.5614,0.4687,0.6459,0.5558,0.6657
 details,0.7614,0.6687,0.8459,0.7558,0.8657
 extension freely available,0.7614,0.6687,0.8459,0.7558,0.8657
 extension freely available,0.7614,0.6687,0.8459,0.7558,0.8657
 extension freely available,0.7614,0.6687,0.8459,0.7558,0.8657
 update cryptotab browser,0.395426667,0.19258,0.192393333,0.210053333,0.193713333
 extension freely available,0.395426667,0.19258,0.192393333,0.210053333,0.193713333
 extension freely available,0.395426667,0.19258,0.192393333,0.210053333,0.193713333
 extension freely available,0.395426667,0.19258,0.192393333,0.210053333,0.193713333
 update cryptotab browser,0.371028444,0.160838667,0.148826222,0.173670222,0.148914222
 details,0.571028444,0.360838667,0.348826222,0.373670222,0.348914222
update,0.272602844,0.242583867,0.273382622,0.301867022,0.203891422
 details,0.472602844,0.442583867,0.473382622,0.501867022,0.403891422
 enabled default,-0.327397156,-0.357416133,-0.326617378,-0.298132978,-0.396108578
 details,-0.127397156,-0.157416133,-0.126617378,-0.098132978,-0.196108578
 details,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422
 extension freely available,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422
 extension freely available,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422
 extension freely available,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422
 extension freely available,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422
 bitcoin,0.142520569,0.778516773,0.784676524,0.754373404,0.782778284
 bitcoin,1.028504114,1.155703355,1.156935305,1.150874681,1.156555657
 bitcoin,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 display certificates maninhemiddle,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 earnings cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 earnings cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 earnings cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 extension freely available,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 earnings cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 earnings cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 earnings cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 display certificates maninhemiddle,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 extension freely available,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 container,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 extension freely available,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131
 slightly better proved,0.707140165,0.419228134,0.435277412,0.457034987,0.420262226
 single people looking,0.400714016,0.200922813,0.199027741,0.230203499,0.180526223
 extension freely available,0.400714016,0.200922813,0.199027741,0.230203499,0.180526223
 extension freely available,0.400714016,0.200922813,0.199027741,0.230203499,0.180526223
